Citysize,LCsize,cainiao,segment,avg_hours
SmallCity,Large,Cainiao,pre_delivery,0.3
BigCity,Large,Cainiao,pre_delivery,0.29
SmallCity,Small,Cainiao,pre_delivery,0.37
BigCity,Small,Cainiao,pre_delivery,0.36
SmallCity,Large,Non-Cainiao,pre_delivery,0.32
SmallCity,Small,Non-Cainiao,pre_delivery,0.3
BigCity,Large,Non-Cainiao,pre_delivery,0.31
BigCity,Small,Non-Cainiao,pre_delivery,0.29
SmallCity,Large,Cainiao,line_haul,38.43
BigCity,Large,Cainiao,line_haul,22.31
SmallCity,Small,Cainiao,line_haul,40.29
BigCity,Small,Cainiao,line_haul,27.03
SmallCity,Large,Non-Cainiao,line_haul,47.84
SmallCity,Small,Non-Cainiao,line_haul,51.02
BigCity,Large,Non-Cainiao,line_haul,30.8
BigCity,Small,Non-Cainiao,line_haul,26.86
SmallCity,Large,Cainiao,last_mile,5.31
BigCity,Large,Cainiao,last_mile,4.95
SmallCity,Small,Cainiao,last_mile,4.72
BigCity,Small,Cainiao,last_mile,3.67
SmallCity,Large,Non-Cainiao,last_mile,5.26
SmallCity,Small,Non-Cainiao,last_mile,6.11
BigCity,Large,Non-Cainiao,last_mile,5
BigCity,Small,Non-Cainiao,last_mile,4.66
